"","nosite","noyear","eff","days","freq","prox"
"1634",20,20,0.002,6,5,"5_20"
"1636",40,20,0.002,6,5,"5_40"
"1638",60,20,0.002,6,5,"5_60"
"1639",80,20,0.002,6,5,"5_80"
"1640",100,20,0.002,6,5,"5_100"
"1641",120,20,0.002,6,5,"5_120"
"1650",20,25,0.002,6,5,"5_20"
"1652",40,25,0.002,6,5,"5_40"
"1654",60,25,0.002,6,5,"5_60"
"1655",80,25,0.002,6,5,"5_80"
"1656",100,25,0.002,6,5,"5_100"
"1657",120,25,0.002,6,5,"5_120"
"1666",20,5,0.01,6,5,"5_20"
"1668",40,5,0.01,6,5,"5_40"
"1670",60,5,0.01,6,5,"5_60"
"1671",80,5,0.01,6,5,"5_80"
"1672",100,5,0.01,6,5,"5_100"
"1673",120,5,0.01,6,5,"5_120"
"1682",20,10,0.01,6,5,"5_20"
"1684",40,10,0.01,6,5,"5_40"
"1686",60,10,0.01,6,5,"5_60"
"1687",80,10,0.01,6,5,"5_80"
"1688",100,10,0.01,6,5,"5_100"
"1689",120,10,0.01,6,5,"5_120"
"1698",20,20,0.01,6,5,"5_20"
"1700",40,20,0.01,6,5,"5_40"
"1702",60,20,0.01,6,5,"5_60"
"1703",80,20,0.01,6,5,"5_80"
"1704",100,20,0.01,6,5,"5_100"
"1705",120,20,0.01,6,5,"5_120"
"1714",20,25,0.01,6,5,"5_20"
"1716",40,25,0.01,6,5,"5_40"
"1718",60,25,0.01,6,5,"5_60"
"1719",80,25,0.01,6,5,"5_80"
"1720",100,25,0.01,6,5,"5_100"
"1721",120,25,0.01,6,5,"5_120"
"1729",10,5,0.001,2,10,"10_10"
